date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:22	105974/105974	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2015:10:23%20GMT	https://doctortap.az/clinic_list/az	C:/My%20Web%20Sites/Klinika/doctortap.az/clinic_list/az.html	(from )
19:10:22	92/92	---MCZ	200	added ('OK')	text/plain	date:Thu,%2024%20Mar%202022%2012:27:30%20GMT	https://doctortap.az/robots.txt		(from )
19:10:22	48569/48569	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2015:10:24%20GMT	https://doctortap.az/clinic_list/favicon.ico	C:/My%20Web%20Sites/Klinika/doctortap.az/clinic_list/favicon.ico	(from https://doctortap.az/clinic_list/az)
19:10:22	164687/164687	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2018:13:00%20GMT	https://doctortap.az/templates/default/css/styles.css?v=1a729addf391c28071aa144e5edd13d1	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/css/styles5281.css	(from https://doctortap.az/clinic_list/az)
19:10:23	41074/41074	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2007:05:29%20GMT	https://doctortap.az/templates/default/css/master.css?v=1a729addf391c28071aa144e5edd13d1	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/css/master5281.css	(from https://doctortap.az/clinic_list/az)
19:10:23	8465/8465	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2009:04:36%20GMT	https://doctortap.az/templates/default/css/mobile.css?v=1a729addf391c28071aa144e5edd13d1	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/css/mobile5281.css	(from https://doctortap.az/clinic_list/az)
19:10:23	31000/31000	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2023:20:50%20GMT	https://doctortap.az/templates/default/css/font-awesome.min.css	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/css/font-awesome.min.css	(from https://doctortap.az/clinic_list/az)
19:10:23	86927/86927	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Jan%202023%2013:48:08%20GMT	https://doctortap.az/templates/default/js/jquery.min.js	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/jquery.min.js	(from https://doctortap.az/clinic_list/az)
19:10:23	78129/78129	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Jan%202023%2013:48:10%20GMT	https://doctortap.az/templates/default/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/bootstrap.bundle.min.js	(from https://doctortap.az/clinic_list/az)
19:10:24	20547/20547	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2020%20May%202023%2011:56:10%20GMT	https://doctortap.az/templates/default/js/master.js?v=1a729addf391c28071aa144e5edd13d1	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/master5281.js	(from https://doctortap.az/clinic_list/az)
19:10:24	3910/3910	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Dec%202022%2018:08:38%20GMT	https://doctortap.az/templates/default/js/mark-your-calendar.js	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/mark-your-calendar.js	(from https://doctortap.az/clinic_list/az)
19:10:24	4955/4955	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Feb%202023%2010:23:32%20GMT	https://doctortap.az/templates/default/js/jquery-input-mask-phone-number.min.js	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/jquery-input-mask-phone-number.min.js	(from https://doctortap.az/clinic_list/az)
19:10:24	15265/15265	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2017:56:32%20GMT	https://doctortap.az/templates/default/css/select2.css	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/css/select2.css	(from https://doctortap.az/clinic_list/az)
19:10:25	73163/73163	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211dcb-beEOdKmS/KFegD2RDRMPgmYxy4Y%22	https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js	C:/My%20Web%20Sites/Klinika/cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js	(from https://doctortap.az/clinic_list/az)
19:10:25	2214/2214	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Dec%202022%2018:06:44%20GMT	https://doctortap.az/templates/default/js/infiniteslidev2.js	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/infiniteslidev2.js	(from https://doctortap.az/clinic_list/az)
19:10:25	71/71	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Mar%202023%2004:45:39%20GMT	https://doctortap.az/templates/default/js/OneSignalSDKWorker.js	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/js/OneSignalSDKWorker.js	(from https://doctortap.az/clinic_list/az)
19:10:27	9204/9204	---MCZ	200	added ('OK')	application/javascript	etag:W/%2206f50014011c1fcd9e21b6b0481979de%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/My%20Web%20Sites/Klinika/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://doctortap.az/clinic_list/az)
19:10:27	52082/52082	---MC-	200	added ('OK')	text/javascript	date:Mon,%2017%20Apr%202023%2022:36:01%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Klinika/www.google-analytics.com/analytics.js	(from https://doctortap.az/clinic_list/az)
19:10:27	2885/2885	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2023:20:56%20GMT	https://doctortap.az/templates/default/img/icon-phone.png	C:/My%20Web%20Sites/Klinika/doctortap.az/templates/default/img/icon-phone.png	(from https://doctortap.az/clinic_list/az)
19:10:28	18120/18120	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Apr%202023%2008:16:20%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230411121620.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230411121620.jpg	(from https://doctortap.az/clinic_list/az)
19:10:28	36635/36635	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Dec%202021%2015:11:12%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20211209042718.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20211209042718.jpg	(from https://doctortap.az/clinic_list/az)
19:10:29	104676/104676	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20May%202022%2013:55:30%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20220519055530.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20220519055530.jpg	(from https://doctortap.az/clinic_list/az)
19:10:29	29085/29085	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Aug%202022%2007:34:24%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20220827113423.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20220827113423.jpg	(from https://doctortap.az/clinic_list/az)
19:10:29	81651/81651	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Aug%202022%2007:37:06%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20220827113705.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20220827113705.jpg	(from https://doctortap.az/clinic_list/az)
19:10:29	18199/18199	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jul%202022%2008:59:00%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20220727125900.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20220727125900.jpg	(from https://doctortap.az/clinic_list/az)
19:10:30	95919/95919	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Aug%202022%2006:25:36%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20220827102536.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20220827102536.jpg	(from https://doctortap.az/clinic_list/az)
19:10:30	47615/47615	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Jan%202023%2006:29:58%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230109102958.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230109102958.jpg	(from https://doctortap.az/clinic_list/az)
19:10:30	112993/112993	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jan%202023%2011:05:48%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230113030547.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230113030547.jpg	(from https://doctortap.az/clinic_list/az)
19:10:30	35026/35026	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2006:58:38%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230303105838.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230303105838.jpg	(from https://doctortap.az/clinic_list/az)
19:10:30	9111/9111	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Mar%202023%2008:08:50%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230302120850.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230302120850.jpg	(from https://doctortap.az/clinic_list/az)
19:10:31	30330/30330	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Feb%202023%2007:57:58%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230211115758.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230211115758.jpg	(from https://doctortap.az/clinic_list/az)
19:10:31	36826/36826	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2012:14:08%20GMT	https://cdn.doctortap.az/uploads/clinic/clinic_20230214041408.jpg	C:/My%20Web%20Sites/Klinika/cdn.doctortap.az/uploads/clinic/clinic_20230214041408.jpg	(from https://doctortap.az/clinic_list/az)
